ID,Name,Password,Category,Pref1,Pref2,Pref3,Pref4,Department,Marks,JEE_Rank,Allocated
64705,Anirban Roy,cFOxyf9ww,GEN,IT,APM,TT,CSE,TT,27,14952,1
69926,Sneha Gupta,lmK5YFGF6,SC,CSE,APM,TT,IT,TT,39,14975,1
12519,Anirban Banerjee,CgjHB8HTE,SC,IT,APM,TT,CSE,TT,59,15829,1
60595,Kavya Mandal,wMYkx3t2g,ST,TT,APM,CSE,IT,TT,91,16729,1
75310,Sandeep Iyer,cfqSrmplP,OBC,CSE,TT,APM,IT,NA,16,16803,0
43019,Vikas Sharma,pov1NsEtA,SC,CSE,APM,TT,IT,NA,94,17567,0
59235,Aishwarya Patel,GNfB6Z5ux,GEN,TT,CSE,APM,IT,NA,28,17786,0
83618,Ananya Singh,45p2iOzl3,GEN,APM,IT,CSE,TT,NA,52,18271,0
27065,Amit Kumar,xE7epZVNb,SC,APM,TT,IT,CSE,NA,3,18360,0
35930,Abhishek Reddy,XcP6ao9jw,SC,IT,APM,TT,CSE,NA,2,18443,0
19752,Sourav Iyer,4rnCH5cgi,SC,TT,CSE,APM,IT,NA,87,19037,0
4428,Tanvi Das,uQwLnwAqz,ST,APM,IT,CSE,TT,NA,9,19058,0
28183,Sandeep Joshi,E2L8KD9sE,SC,TT,CSE,APM,IT,NA,88,19105,0
1515,Rohit Mehta,2Y5Nq3D0R,GEN,CSE,TT,IT,APM,NA,54,19334,0
22809,Rahul Mukherjee,kkw0uHhAX,GEN,TT,CSE,IT,APM,NA,31,19538,0
30276,Anirban Mukherjee,d5b0hJt71,SC,IT,CSE,TT,APM,NA,29,19765,0
38353,Riya Joshi,Q9EPbE9Ae,SC,CSE,IT,TT,APM,NA,42,20173,0
50631,Rohit Dutta,Qg8JemQjr,GEN,IT,CSE,APM,TT,NA,92,20644,0
48904,Riya Kumar,scQj1FIi9,ST,CSE,TT,IT,APM,NA,0,21250,0
36642,Pooja Mehta,QvIx2g1a3,SC,CSE,IT,TT,APM,NA,30,21761,0
71665,Ananya Sharma,QbvMYxAWT,GEN,TT,CSE,IT,APM,NA,43,23205,0
80659,Sourav Saha,Fk65PUCsU,SC,IT,TT,APM,CSE,NA,16,24237,0
2333,Priya Joshi,J3SF2y6sX,ST,TT,CSE,APM,IT,NA,1,24624,0
60312,Riya Roy,s9B7rKFlC,GEN,CSE,TT,IT,APM,NA,100,26008,0
66568,Aishwarya Chatterjee,UhtJfuwzb,ST,APM,CSE,TT,IT,NA,42,26609,0
76716,Tanvi Verma,mof81AbIz,GEN,APM,CSE,IT,TT,NA,94,26702,0
8253,Sneha Chatterjee,lPAhv4Pmw,ST,IT,CSE,APM,TT,NA,20,28074,0
52189,Sandeep Joshi,FZzHxdyJL,SC,IT,CSE,APM,TT,NA,29,28529,0
4148,Vikas Ghosh,AGMgR9bHX,ST,TT,CSE,IT,APM,NA,18,28609,0
14510,Sandeep Dutta,81lRD44Jd,SC,CSE,IT,APM,TT,NA,74,29378,0
54838,Vikas Kumar,xUB85X6xC,OBC,APM,TT,CSE,IT,NA,45,29385,0
61184,Neha Banerjee,pb630YLhb,SC,CSE,IT,TT,APM,NA,27,29633,0
80469,Aishwarya Reddy,s5HE2oEEs,SC,APM,IT,TT,CSE,NA,34,29927,0
78286,Tanvi Dutta,pvJHuqKrw,ST,APM,IT,CSE,TT,NA,62,30423,0
32907,Arjun Roy,bP2Hpck1P,OBC,TT,APM,IT,CSE,NA,34,30542,0
32275,Neha Banerjee,PYmQOm6vk,ST,IT,CSE,APM,TT,NA,42,31126,0
72084,Kavya Roy,rwKqNlFTH,OBC,IT,APM,TT,CSE,NA,10,31689,0
90073,Rahul Dutta,un2sq6212,OBC,TT,APM,CSE,IT,NA,35,32228,0
58672,Rohit Verma,lGqJxIOeP,OBC,TT,APM,CSE,IT,NA,72,32229,0
63839,Sandeep Mukherjee,mvVYlWgIQ,GEN,IT,TT,CSE,APM,NA,69,32716,0
88006,Kavya Gupta,1Yy1vJyCl,OBC,TT,IT,CSE,APM,NA,52,33892,0
30002,Pranav Banerjee,FpNFuyEzo,OBC,TT,CSE,APM,IT,NA,45,34550,0
27834,Sourav Mukherjee,7js93dLn9,ST,TT,CSE,IT,APM,NA,69,34853,0
30367,Ananya Das,GjSpmnMjy,ST,CSE,TT,IT,APM,NA,83,35029,0
7064,Rahul Sharma,FAh6DDiDb,ST,TT,IT,CSE,APM,NA,2,36938,0
35196,Pooja Reddy,v0hLF9YEu,ST,CSE,IT,APM,TT,NA,17,37394,0
53122,Sneha Joshi,7ZeGRTEIx,SC,TT,APM,CSE,IT,NA,85,38244,0
14834,Abhishek Gupta,khOb9GCuC,GEN,IT,CSE,TT,APM,NA,100,38402,0
56537,Anirban Ghosh,jXVtXt47I,ST,CSE,IT,TT,APM,NA,23,38700,0
78227,Rahul Chatterjee,M04c7IouJ,GEN,IT,CSE,TT,APM,NA,38,40229,0
68882,Priya Iyer,nWQYrq0IX,ST,TT,CSE,IT,APM,NA,82,40254,0
48047,Rohit Sharma,eYM7eQOlF,OBC,CSE,IT,APM,TT,NA,82,40483,0
11671,Pranav Agarwal,OrqXgZR7D,SC,APM,CSE,IT,TT,NA,51,40901,0
53655,Rahul Sharma,Y33FTtnqW,SC,APM,CSE,TT,IT,NA,62,41534,0
44810,Swati Agarwal,51fPgGAiW,OBC,CSE,APM,IT,TT,NA,66,41929,0
62569,Vikas Gupta,L8XB9z5S5,SC,TT,CSE,IT,APM,NA,97,42872,0
36225,Aishwarya Gupta,8HGzN9bvz,ST,APM,CSE,TT,IT,NA,52,43098,0
22979,Rahul Sharma,ltWkB1IE6,ST,APM,CSE,IT,TT,NA,58,44263,0
77381,Kunal Mandal,2GhLJa0tH,GEN,CSE,IT,TT,APM,NA,63,45548,0
45771,Abhishek Kumar,sdBlJQW7M,SC,IT,APM,TT,CSE,NA,78,45739,0
2640,Sandeep Saha,ebA1rVS7A,ST,APM,IT,CSE,TT,NA,73,46892,0
17561,Pooja Saha,qii57wCED,SC,APM,CSE,IT,TT,NA,5,47678,0
66634,Nikhil Mandal,SZJhIx4et,OBC,APM,CSE,IT,TT,NA,40,47854,0
54412,Arjun Verma,HXpyDugeS,SC,IT,CSE,TT,APM,NA,67,48023,0
47538,Neha Iyer,66t9ycxoK,ST,IT,APM,TT,CSE,NA,91,49840,0
